height,width,total_pixels,mean_intensity,std_intensity,min_intensity,max_intensity,median_intensity,histogram_quartiles,contrast,contrast_normalized,entropy,filename,path
211,226,47686,97.260202155769,32.09097623323882,0,255,99.0,"{'q25': 76.0, 'q50': 99.0, 'q75': 120.0}",255.0,1.0,7.028029441833496,1-263.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100018879311824535125115145152454291132\1-263.jpg
6601,3826,25255426,50.30484763947359,61.66604083229377,0,255,0.0,"{'q25': 0.0, 'q50': 0.0, 'q75': 115.0}",255.0,1.0,4.457001209259033,1-126.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100131208110604806117271735422083351547\1-126.jpg
5491,4126,22655866,113.33588766812092,74.89564491458862,0,255,131.0,"{'q25': 42.0, 'q50': 131.0, 'q75': 152.0}",255.0,1.0,6.585270881652832,1-231.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100522099512256189513864912954167862869\1-231.jpg
5491,3151,17302141,91.10334981087023,90.49928077672936,0,255,82.0,"{'q25': 0.0, 'q50': 82.0, 'q75': 176.0}",255.0,1.0,5.53037166595459,1-111.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100522676511025180541602449080267145647\1-111.jpg
81,89,7209,140.4508253571924,48.884880691425316,0,255,149.0,"{'q25': 101.0, 'q50': 149.0, 'q75': 179.0}",255.0,1.0,7.518024444580078,1-031.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.10055294210766234140934516480682841962\1-031.jpg
4504,2952,13295808,38.89389843776324,64.4200458259127,0,255,0.0,"{'q25': 0.0, 'q50': 0.0, 'q75': 76.0}",255.0,1.0,3.620380401611328,1-108.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100579676611077714807988832023693299884\1-108.jpg
5992,3480,20852160,48.00164616039777,62.29042375916428,0,255,15.0,"{'q25': 0.0, 'q50': 15.0, 'q75': 98.0}",255.0,1.0,5.06353759765625,1-031.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100631678311747240317898717702514834166\1-031.jpg
4648,2568,11936064,51.96762576004954,56.46711846329015,0,255,32.0,"{'q25': 0.0, 'q50': 32.0, 'q75': 98.0}",255.0,1.0,4.989197731018066,1-075.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100632214012866120117337678502539182046\1-075.jpg
6256,3166,19806496,73.10573435099272,84.71495840228961,0,255,0.0,"{'q25': 0.0, 'q50': 0.0, 'q75': 157.0}",255.0,1.0,4.521201133728027,1-198.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100682860911308271813943300011840547108\1-198.jpg
4504,2896,13043584,46.150965639505216,51.3871484205982,0,255,15.0,"{'q25': 0.0, 'q50': 15.0, 'q75': 91.0}",255.0,1.0,4.891923904418945,1-030.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100764250811134786606184452222065316702\1-030.jpg
5236,2731,14299516,66.70098603337344,84.64190646799031,0,255,0.0,"{'q25': 0.0, 'q50': 0.0, 'q75': 161.0}",255.0,1.0,4.261407852172852,1-014.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100792511112769116642896236870187678269\1-014.jpg
4595,2807,12898165,0.45780015994523254,10.79095344566118,0,255,0.0,"{'q25': 0.0, 'q50': 0.0, 'q75': 0.0}",255.0,1.0,0.021187569946050644,1-174.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100905990410891350726987703140883813087\1-174.jpg
537,497,266889,167.99415862025037,47.49953497661753,0,253,180.0,"{'q25': 148.0, 'q50': 180.0, 'q75': 199.0}",253.0,0.9921568627450981,7.25146484375,1-047.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100906036712673986206442054953651734884\1-047.jpg
4544,3072,13959168,32.3693339746323,54.802003247377435,0,255,0.0,"{'q25': 0.0, 'q50': 0.0, 'q75': 54.0}",255.0,1.0,3.8293042182922363,1-196.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100918565011624154113353240323776636898\1-196.jpg
5768,3992,23025856,44.289138219226245,57.34660366081238,0,255,0.0,"{'q25': 0.0, 'q50': 0.0, 'q75': 92.0}",255.0,1.0,4.590803146362305,1-285.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.10098093912338239901459163343317187533\1-285.jpg
401,305,122305,87.41836392624995,55.10208811013338,0,254,76.0,"{'q25': 43.0, 'q50': 76.0, 'q75': 130.0}",254.0,0.996078431372549,7.593934059143066,1-037.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.100983979911824949714845959010086335063\1-037.jpg
365,341,124465,120.4475073313783,41.999300934506785,0,255,123.0,"{'q25': 90.0, 'q50': 123.0, 'q75': 151.0}",255.0,1.0,7.410201072692871,1-118.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.101011223512108697114157057734091580668\1-118.jpg
364,334,121576,161.22817003355925,51.987600338531834,0,252,178.0,"{'q25': 121.0, 'q50': 178.0, 'q75': 204.0}",252.0,0.9882352941176471,7.4187469482421875,1-064.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.101063292413216247018662637363163925430\1-064.jpg
5491,2911,15984301,55.06951545769815,71.17078118410117,0,255,0.0,"{'q25': 0.0, 'q50': 0.0, 'q75': 111.0}",255.0,1.0,4.692169189453125,1-048.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.101088347411683211841739390870264222457\1-048.jpg
266,191,50806,118.68787151123882,40.64109622350586,0,255,122.0,"{'q25': 89.0, 'q50': 122.0, 'q75': 148.0}",255.0,1.0,7.34568977355957,1-199.jpg,jpeg\1.3.6.1.4.1.9590.100.1.2.101245645112886250614071592174163863244\1-199.jpg
